,Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
18,0.032,0.435,57.0,1997.0,18796191833.0,0.034,18796191833.0,488.0,0.042,0.1,0.14400000000000002,64.0,62.0,1.5,0.385,0.562,0.053,0.86,Africa,Gabon
19,0.043,2.832,27.0,10550.0,898282866.0,0.047,898282866.0,376.0,0.051,0.1,0.28,60.0,57.0,0.8,0.459,0.516,0.025,0.57,Africa,"Gambia, The"
20,0.032,0.33399999999999996,12.0,10550.0,39564970070.0,0.053,39564970070.0,224.0,0.054,0.1,0.14400000000000002,62.0,60.0,0.9,0.388,0.577,0.035,0.514,Africa,Ghana
21,0.038,0.912,40.0,10550.0,5067360041.0,0.06,5067360041.0,416.0,0.069,0.0,0.14400000000000002,56.0,55.0,0.4,0.427,0.542,0.031,0.353,Africa,Guinea
22,0.038,0.45899999999999996,9.0,10550.0,967762549.0,0.063,967762549.0,208.0,0.082,0.0,0.14400000000000002,55.0,52.0,0.5,0.417,0.553,0.029,0.461,Africa,Guinea-Bissau
23,0.036,0.493,33.0,20179.0,34313315840.0,0.044,34313315840.0,393.0,0.05,0.3,0.15,62.0,59.0,0.7,0.425,0.549,0.026,0.24,Africa,Kenya
24,0.028,0.16,40.0,10550.0,2487352968.0,0.117,2487352968.0,324.0,0.073,0.0,0.104,48.0,48.0,0.6,0.372,0.586,0.042,0.253,Africa,Lesotho
25,0.037,0.429,6.0,10550.0,1537753885.0,0.156,1537753885.0,158.0,0.058,0.0,0.138,61.0,59.0,0.5,0.432,0.537,0.031,0.482,Africa,Liberia
26,0.022,0.43699999999999994,25.5,13342.0,34699395524.0,0.039,34699395524.0,270.0,0.014,0.1,0.06,77.0,73.0,1.6,0.294,0.659,0.046,0.778,Africa,Libya
27,0.035,0.371,8.0,10550.0,9853981624.0,0.041,9853981624.0,201.0,0.042,0.0,0.525,65.0,62.0,0.4,0.431,0.541,0.028,0.326,Africa,Madagascar
28,0.04,0.29,39.0,10550.0,5627898037.0,0.083,5627898037.0,157.0,0.049,0.0,0.238,54.0,54.0,0.3,0.456,0.512,0.031,0.157,Africa,Malawi
29,0.048,0.511,8.0,10550.0,10647545670.0,0.068,10647545670.0,270.0,0.081,0.0,0.14400000000000002,54.0,54.0,0.8,0.47,0.502,0.029,0.368,Africa,Mali
30,0.035,0.682,19.0,10550.0,4136083856.0,0.059,4136083856.0,696.0,0.069,0.0,0.17,63.0,60.0,0.9,0.404,0.565,0.031,0.573,Africa,Mauritania
31,0.011,0.27699999999999997,6.0,10550.0,11252405860.0,0.049,11252405860.0,161.0,0.013,0.4,0.089,77.0,70.0,1.0,0.206,0.713,0.08,0.404,Africa,Mauritius
32,0.022,0.496,12.0,17283.0,99211339029.0,0.063,99211339029.0,238.0,0.028,0.5,0.14400000000000002,72.0,69.0,1.1,0.279,0.671,0.05,0.582,Africa,Morocco
33,0.04,0.375,13.0,10202.0,12547888400.0,0.064,12547888400.0,230.0,0.068,0.0,0.191,50.0,49.0,0.3,0.454,0.514,0.032,0.312,Africa,Mozambique
34,0.027,0.218,66.0,1589.0,12451760766.0,0.086,12451760766.0,339.0,0.036,0.1,0.087,66.0,61.0,1.0,0.371,0.594,0.035,0.426,Africa,Namibia
35,0.05,0.43799999999999994,17.0,10550.0,6411842066.0,0.068,6411842066.0,270.0,0.064,0.0,0.14400000000000002,58.0,57.0,0.3,0.499,0.475,0.026,0.178,Africa,Niger
36,0.042,0.327,28.0,118325.0,411743801712.0,0.057,411743801712.0,938.0,0.079,0.3,0.16,52.0,51.0,0.6,0.441,0.531,0.027,0.444,Africa,Nigeria
37,0.036,0.31,3.0,10550.0,6406727020.0,0.11,6406727020.0,148.0,0.041,0.1,0.14400000000000002,65.0,61.0,0.4,0.442,0.535,0.023,0.249,Africa,Rwanda
38,0.036,0.325,10.0,10550.0,248286778.0,0.076,248286778.0,424.0,0.039,0.2,0.27,68.0,64.0,0.6,0.416,0.549,0.035,0.626,Africa,Sao Tome and Principe
39,0.038,0.455,6.0,3515.0,14440676498.0,0.05,14440676498.0,666.0,0.046,0.2,0.14400000000000002,65.0,62.0,0.7,0.436,0.534,0.031,0.425,Africa,Senegal
40,0.019,0.322,39.0,10550.0,1059593023.0,0.036,1059593023.0,76.0,0.012,0.4,0.112,78.0,68.0,1.4,0.222,0.702,0.076,0.526,Africa,Seychelles
41,0.038,0.324,12.0,10550.0,2932273988.0,0.163,2932273988.0,357.0,0.112,0.0,0.21,45.0,45.0,0.4,0.42,0.554,0.026,0.386,Africa,Sierra Leone
42,0.045,0.43699999999999994,25.5,10550.0,12304070414.0,0.06,12304070414.0,270.0,0.095,0.0,0.14400000000000002,56.0,53.0,0.2,0.475,0.496,0.028,0.377,Africa,Somalia
43,0.021,0.324,19.0,141372.0,403894316555.0,0.087,403894316555.0,200.0,0.034,0.3,0.09,57.0,53.0,1.2,0.296,0.651,0.053,0.627,Africa,South Africa
